
asctime	levelname	name	message
05:07:53	INFO	ANA	Created summary: logs_summary/202111090507_get_ANA_mchan.json
05:07:53	INFO	ANA	END get_ANA_mchan.py
07:08:04	INFO	FPL	Scraping non-updated urls from database.
07:08:52	INFO	FPL	Processed: 33,372
07:08:52	INFO	FPL	Inserted/updated: 33,305
07:08:52	WARNING	FPL	Product errors (validation/insert/status): 67
07:08:52	WARNING	FPL	Product warnings (validation): 95
07:08:52	INFO	FPL	Created summary: logs_summary/202111090708_get_FPL_mchan.json
07:08:52	INFO	FPL	END get_FPL_mchan.py
09:30:02	INFO	FHP	Scraping non-updated urls from database.
09:42:15	INFO	FHP	Processed: 24,997
09:42:15	INFO	FHP	Inserted/updated: 24,974
09:42:15	WARNING	FHP	Product errors (validation/insert/status): 23
09:42:15	WARNING	FHP	Product warnings (validation): 128
09:42:15	INFO	FHP	Created summary: logs_summary/202111090942_get_FHP_mchan_catgy.json
09:42:15	INFO	FHP	END get_FHP_mchan_catgy.py
09:42:15	INFO	INIT	START batch_update_m_agt_catgy.py
09:42:15	INFO	INIT	Updating m_agt_catgy of ['RKT', 'FNB', 'FCH', 'STF', 'ANA', 'AUP', 'FHP', 'FPL', 'FPR']
09:44:27	INFO	INIT	END batch_update_m_agt_catgy.py
09:44:27	INFO	NAYOSE	Assigning categories for all agents in all cities where catgy_assign_flg is 1.
09:44:27	INFO	CATGY	START assign_catgy.py
09:44:40	ERROR	CATGY	No category found for: FHP : 工芸品・装飾品_工芸品・民芸品
09:45:34	ERROR	CATGY	No category found for: FHP : 日用品・雑貨_日用品
09:54:04	ERROR	CATGY	No category found for: FHP : 日用品・雑貨_スポーツ・アウトドア
09:54:27	ERROR	CATGY	No category found for: STF : fooddrink,alcoholicdrinks,plumwine
09:56:23	ERROR	CATGY	No category found for: STF : fooddrink,alcoholicdrinks,plumwine
09:56:23	ERROR	CATGY	No category found for: STF : fooddrink,alcoholicdrinks,wine_liqueur
09:56:24	ERROR	CATGY	No category found for: FPR : クラウドファンディング
09:56:25	ERROR	CATGY	No category found for: FPR : ふるさとプレミアムクラウドファンディング
09:57:57	ERROR	CATGY	No category found for: FHP : 日用品・雑貨_衣類・履き物
09:59:23	ERROR	CATGY	No category found for: STF : fooddrink,alcoholicdrinks,plumwine
10:03:43	ERROR	CATGY	No category found for: STF : fooddrink,alcoholicdrinks,plumwine
10:03:49	ERROR	CATGY	No category found for: STF : fooddrink,alcoholicdrinks,wine_liqueur
10:05:55	ERROR	CATGY	No category found for: STF : fooddrink,alcoholicdrinks,wine_liqueur
